Авилов 	 Avilov
Кизеветтер А. А., проф. 	 Kizevetter A. A., prof.
Кишкин 	 Kishkin
Клодиа (портниха) 	 Klodia (portniha)
Ключевский В. О., проф. 	 Kljuchevskij V. O., prof.
Книппер (Чехова) О. Л. 	 Knipper (Chehova) O. L.
Ковалевский M. M. 	 Kovalevskij M. M.
Койранский А. А. 	 Kojranskij A. A.
Койранские 	 Kojranskie
Колчак А. В., адмирал 	 Kolchak A. V., admiral
Комиссаржевская 	 Komissarzhevskaja
Константин Константинович, вел. кн. 	 Konstantin Konstantinovich, vel. kn.
Конюс Т. С. (ур. Рахманинова) 	 Konjus T. S. (ur. Rahmaninova)
Корнилов Л. Г., ген. 	 Kornilov L. G., gen.
Корнилов Ф. Д. 	 Kornilov F. D.
Короленко В. Г. 	 Korolenko V. G.
Крандиевский 	 Krandievskij
Кречетов С. А. 	 Krechetov S. A.
Кречетовы 	 Krechetovy
Кривошеий А. В. 	 Krivosheij A. V.
Кривошеины 	 Krivosheiny
Кронштадский о. Иоанн 	 Kronshtadskij o. Ioann
Крымов В. П. 	 Krymov V. P.
Кугушева Ася 	 Kugusheva Asja
Кугушева М. А. 	 Kugusheva M. A.
Кугушевы 	 Kugushevy
Кузнецова Г. Н. (Галина, Галя) 	 Kuznetsova G. N. (Galina, Galja)
Кузьмин-Караваев Д. 	 Kuz'min-Karavaev D.
Кульман Н. К., проф. 	 Kul'man N. K., prof.
Кульман Н. И. 	 Kul'man N. I.
Кульманы 	 Kul'many
Кун Бэлла 	 Kun Bella
Кулябко-Карецкий Н. И. 	 Kuljabko-Karetskij N. I.
Куприн А. И. (папочка) 	 Kuprin A. I. (papochka)
Куприна Е. М. (Лизи) 	 Kuprina E. M. (Lizi)
Куприны 	 Kupriny
Курдюмов см. Каллаш 	 Kurdjumov sm. Kallash
Кусевицкий С. А. 	 Kusevitskij S. A.
Кусиков 	 Kusikov
Кускова Е. Д. 	 Kuskova E. D.
Кустодиев Б. М. 	 Kustodiev B. M.
Кутепов А. П., ген. 	 Kutepov A. P., gen.
Кянжунцевы 	 Kjanzhuntsevy
Лавров П. Л. 	 Lavrov P. L.
Ладыженский В. Н. 	 Ladyzhenskij V. N.
Лазаревский Б. А. 	 Lazarevskij B. A.
Ландау Гр. 	 Landau Gr.
Ландау М. А. (см. Алданов Марк) 	 Landau M. A. (sm. Aldanov Mark)
Ландау Т. М. 	 Landau T. M.
Лаоцзы 	 Laotszy
Лапинская 	 Lapinskaja
Ларионов М. Ф. 	 Larionov M. F.
Левина М. 	 Levina M.
Левины 	 Leviny
Ленин В. И. 	 Lenin V. I.
Леонтьев К. 	 Leont'ev K.
Лермонтов М. Ю. 	 Lermontov M. Ju.
Лист Ф. 	 List F.
Литовцев, см. Поляков-Литовцев С. Л. 	 Litovtsev, sm. Poljakov-Litovtsev S. L.
Лифарь С. М. 	 Lifar' S. M.
Лихошерстов 	 Lihosherstov
Ллойд Джордж Д. 	 Llojd Dzhordzh D.
Лоло (Мунштейн В. Н.) 	 Lolo (Munshtejn V. N.)
Лопатин Вл. М. 	 Lopatin Vl. M.
Лопатин Л. М. 	 Lopatin L. M.
Лопатина Ек. М. (Лопатэн) 	 Lopatina Ek. M. (Lopaten)
Лохвицкий, ген. 	 Lohvitskij, gen.
Лужские 	 Luzhskie
Луначарский А. В. 	 Lunacharskij A. V.
Лурье С. В. 	 Lur'e S. V.
Львов Г. Е., князь 	 L'vov G. E., knjaz'
Львов Лоллий И. 	 L'vov Lollij I.
Любимов, свящ. 	 Ljubimov, svjasch.
Лютер А. 	 Ljuter A.
Ляцкий Е. А. 	 Ljatskij E. A.
Маан, д-р (он же Мак) 	 Maan, d-r (on zhe Mak)
Магеровский Л. Ф. 	 Magerovskij L. F.
Макеев M. H. 	 Makeev M. H.
Маклаков В. А. 	 Maklakov V. A.
Маклакова М. 	 Maklakova M.
Маклаковы 	 Maklakovy
Маклаков Ю. Н. 	 Maklakov Ju. N.
Маковский С. К. 	 Makovskij S. K.
Малиновская 	 Malinovskaja
Малиновский 	 Malinovskij
Малявин Ф. А. 	 Maljavin F. A.
Мамонтов Савва 	 Mamontov Savva
Манн Томас 	 Mann Tomas
Мансфильд Кат. 	 Mansfil'd Kat.
Манухин И. И., д-р 	 Manuhin I. I., d-r
Манухина Т. И. 	 Manuhina T. I.
Манухины 	 Manuhiny
Маркс Карл 	 Marks Karl
Маршак А. О., д-р 	 Marshak A. O., d-r
Маяковский В. 	 Majakovskij V.
Медичи Ек. 	 Medichi Ek.
Мейнгард 	 Mejngard
Мельгунов СП., проф. 	 Mel'gunov SP., prof.
Мельников-Печерский П. И. 	 Mel'nikov-Pecherskij P. I.
Менье 	 Men'e
Мережковский Д. С. 	 Merezhkovskij D. S.
Мережковская Зин. Н. см. Гиппиус З. Н. 	 Merezhkovskaja Zin. N. sm. Gippius Z. N.
Мережковские 	 Merezhkovskie
Микоян А. 	 Mikojan A.
Милица Ник., вел. княг. 	 Militsa Nik., vel. knjag.
Миллер Е. К., ген. 	 Miller E. K., gen.
Милль Пьер 	 Mill' P'er
Милюков П. Н. 	 Miljukov P. N.
Минский (Виленкин) H. M. 	 Minskij (Vilenkin) H. M.
Минские 	 Minskie
Миронов Н. Д. 	 Mironov N. D.
Мироновы 	 Mironovy
Мирский (Святополк-Мирский) Д. П. 	 Mirskij (Svjatopolk-Mirskij) D. P.
Михайлов, д-р 	 Mihajlov, d-r
Михайлов П. А., проф. 	 Mihajlov P. A., prof.
Михайловы 	 Mihajlovy
Могилянский 	 Mogiljanskij
МоисеенкоЕ. И. 	 MoiseenkoE. I.
Могилевский 	 Mogilevskij
Мольер 	 Mol'er
Мопассан 	 Mopassan
Москвин И. М. 	 Moskvin I. M.
Мочульский К. В. 	 Mochul'skij K. V.
Муллен Камилл де 	 Mullen Kamill de
Мунейхин Мисюрь 	 Munejhin Misjur'
Муромцев Вс. Н. (Сева) 	 Muromtsev Vs. N. (Seva)
Муромцев Дм. Н. (Митя) 	 Muromtsev Dm. N. (Mitja)
Муромцев Н. (папа) 	 Muromtsev N. (papa)
Муромцев П. Н. (Павлик) 	 Muromtsev P. N. (Pavlik)
Муромцева Л. Ф. (мама) 	 Muromtseva L. F. (mama)
Муссолини 	 Mussolini
Мустангет 	 Mustanget
Набоков В. Д. 	 Nabokov V. D.
Наполеон 	 Napoleon
Нарышкины 	 Naryshkiny
Неклюдов А. В. 	 Nekljudov A. V.
Неклюдова 	 Nekljudova
Неклюдовы 	 Nekljudovy
Немирович-Данченко В. И. 	 Nemirovich-Danchenko V. I.
Нижинская 	 Nizhinskaja
Николай I 	 Nikolaj I
Николай II 	 Nikolaj II
Николай Николаевич, вел. кн. 	 Nikolaj Nikolaevich, vel. kn.
Нилус П. А. (Петр) 	 Nilus P. A. (Petr)
Нилус Б. С. 	 Nilus B. S.
Нилусы 	 Nilusy
Нобель Альфред 	 Nobel' Al'fred
Нобель Г. Л. 	 Nobel' G. L.
Нобель Марта Л. 	 Nobel' Marta L.
Нобель Э. Л. 	 Nobel' E. L.
Нобели 	 Nobeli
Новгородцев П. И., проф. 	 Novgorodtsev P. I., prof.
Новосильцев, ген. 	 Novosil'tsev, gen.
Нольде Б. Э., барон 	 Nol'de B. E., baron
Нувель В. Ф. 	 Nuvel' V. F.
Овсянико-Куликовский Д. Н. 	 Ovsjaniko-Kulikovskij D. N.
Одоевцева Ирина 	 Odoevtseva Irina
Олейников 	 Olejnikov
Олейниковы 	 Olejnikovy
